1/x,g(x)-x
-1,-0.67687502817870086844136127504172485846471200668367123520251173824234423616
-0.9990234375,-0.67700696003546867346041142596276090891987726002700510178654730451890195354
-0.998046875,-0.67713901583968850766738507020465527272326624890060697537408413454182713108
-0.9970703125,-0.67727119580185661419456323179120779863367606637890432659572533091723274262
-0.99609375,-0.67740350013299232626821280821382955559839950961329940741547423261623556064
-0.9951171875,-0.67753592904463978845693281531232935996037989403997086147162314787125342501
-0.994140625,-0.6776684827488696849942027194498930464785835276028093499162660988599828776
-0.9931640625,-0.67780116145828097521008173526230061804812155947741690624681702366047772109
-0.9921875,-0.6779339653860026361072099682834199332839106274801478035842208541863192715
-0.9912109375,-0.67806689474569541211646562150621773539326800493806102666029327380005074115
-0.990234375,-0.67819994975155357206783717344710386464749172073900427753096029811538645974
-0.9892578125,-0.67833313061830667341227548264109690251647972054997872921735928616850542331
-0.98828125,-0.67846643756122133373049818989012344387778023509955431186698120396845667416
-0.9873046875,-0.67859987079610300956492758528589982694311273729093034277062447376156495674
-0.986328125,-0.67873343053929778261115329238734768282777575058677684148148503504255463817
-0.9853515625,-0.678867117007694153305522707392101417597186325938033607477966435190341082
-0.984375,-0.67900093041872484184567512723160118292971427818788547428407198371040748884
-0.9833984375,-0.67913487099036859668104991785704880729236534369800889062994599820196187535
-0.982421875,-0.67926893894115201051061492327576897858260940693373669548082615267072320239
-0.9814453125,-0.67940313449015134382527860794083440025908056675704873803112309083571703847
-0.98046875,-0.6795374578569943560326681707785246735273698555549002990770558506039898797
-0.9794921875,-0.67967190926186214420217607943725202138049670746476917818087504721543731506
-0.978515625,-0.6798064889254909894683991593294261717372399765808332372171458529046602236
-0.9775390625,-0.67994119706917421113131754487909471502676065550402256456667142777509504942
-0.9765625,-0.68007603391476402849178547134202688808100287333420464126154722326767609582
-0.9755859375,-0.680210999684673430461132065985222013062113386026149867848514252836319637
-0.974609375,-0.68034609460187805298389799874959012091906392077663275373844967658335015557
-0.9736328125,-0.68048131888991806431296308631959564372603160842956279130716847928490461408
-0.97265625,-0.68061667277290005817655072143155655502794215280837759321102831953770175152
-0.9716796875,-0.68075215647549895487682733301130276792779228713170339565568780406514299731
-0.970703125,-0.68088777022295991036004898418486447579754459975393950256421524148000637357
-0.9697265625,-0.68102351424110023329844269629615511653013213452655216235794372527410676157
-0.96875,-0.68115938875631131022424715983807461445475775469411543507689178147165865711
-0.9677734375,-0.6812953939955605387565761698053462168021889711907327959714227342208337222
-0.966796875,-0.68143153018639326896200841565935561028453693205950983457773107972631430926
-0.9658203125,-0.68156779755693475289004917721227772685300188343190060215456211462584487418
-0.96484375,-0.68170419633589210232485303975018232719690667250412543805025117776828466681
-0.9638671875,-0.68184072675255625479484195718925706205893803045172103543781707769759026865
-0.962890625,-0.68197738903680394788209987366975624427609957936772002932687517108327167817
-0.9619140625,-0.68211418341909970187367367452109399003790521091165337626420613685749978627
-0.9609375,-0.68225111013049781079716048987033207469676069223542179399255837382225191111
-0.9599609375,-0.68238816940264434188321333131724054053597355924027280319861967367804074287
-0.958984375,-0.68252536146777914349785071717564557100795083307720820570737078176773532362
-0.9580078125,-0.68266268655873786158771134800892968625827816605651034432086721831743306554
-0.95703125,-0.68280014490895396468165204490687708092207653617721428214175318395916604179
-0.9560546875,-0.68293773675246077749234607161575939724004139475805498630727219674769658685
-0.955078125,-0.68307546232389352316179964181355380589986578607408182393153577351912260717
-0.9541015625,-0.683213321858491374194966878204216177716652691179112413398873489545200449
-0.953125,-0.68335131559209951212590775449366874408070083804299153937000494279055620263
