x,f,g
0,NaN,∞
0.03125,1.4485371566872385673575178192115617,2.9354569994267605484368511023211194
0.0625,1.3681824405835373748453855164059427,2.2862691188202866030522533810509028
0.09375,1.3028419280795210643008623446072229,1.9225093429173584993073174200561579
0.125,1.2468470482245735321836934667314676,1.6746460536226512900179719308389356
0.15625,1.1975299905393910173206318936174773,1.4896808708767174140061882057937314
0.1875,1.1533354031476056222397462981714551,1.3440797530382148747013529529389835
0.21875,1.1132468966391463818742581961651969,1.2253347679245252133235934024366177
0.25,1.0765505553276071689198955388976338,1.1260108838118169282955369327643458
0.28125,1.0427191490965539977495039271508865,1.041334550627642686445722004372651
0.3125,1.011348664746459728396087039225013,0.96806288477215954721036438902478234
0.34375,0.98212059039229981496584048724954708,0.9038954423824803077261705276850757
0.375,0.95477809581688430583860970234558154,0.84714349059059953709044595137011329
0.40625,0.92911025376695066622303559517157585,0.79653242096371052080640196342199216
0.4375,0.90494117806474575928412959648965633,0.75107780436985084918690313531624411
0.46875,0.88212230577312745634395162396026414,0.71000445809671545730263985145206176
0.5,0.86052676572615856228433225276586615,0.67269179286854911155646285161224297
0.53125,0.84004517547060494911644174352083222,0.63863583671175973764897284133452129
0.5625,0.82058244260811818870108903805035569,0.60742218969637031633801013463816086
0.59375,0.80205528888311138053977099975643793,0.57870634647001522146422225347882432
0.625,0.78439030493789385648217450753880464,0.55219910765224655915643058556710716
0.65625,0.7675224016911633728772415575355556,0.52765558244923084299886074656063119
0.6875,0.75139356287146564834325617221299909,0.50486677444558284479526927123504544
0.71875,0.73595182946731282060358148663234021,0.48365305746349171908277224659117414
0.75,0.72115046505636113934029757560565655,0.46385905573953438165509958671490701
0.78125,0.70694726383720941216930156851760731,0.44534958208843110074809426068184647
0.8125,0.69330397242605490243533745517586297,0.42800638324931155031259675423164554
0.84375,0.68018580321669445436238686307964488,0.41172550819412846396170797135309801
0.875,0.6675610220812778540724484508168437,0.39641516231959435307509538765774296
0.90625,0.65540059691538524572549138709778766,0.38199394430153454891850339846758188
0.9375,0.64367789635173290299368869927061516,0.36838938702912007057773153640155395
0.96875,0.63236843012479708965558856887272953,0.3555367421850186842570910408175406
1,0.62144962423581335763926572821533932,0.34337796155642703283253300385831243
1.03125,0.61090062536732529914333931586139707,0.33186083833761987641173014131587881
1.0625,0.60070213001829755335810849805063089,0.32093827941842082359556303499465344
1.09375,0.59083623464053177634720858206543849,0.31056768558421299665189923765753644
1.125,0.58128630370350433683864183831418847,0.3007104211404966924070815940829798
1.15625,0.57203685313430391322112321439870855,0.29133135805123698887358881822564566
1.1875,0.56307344699968279447832499131335408,0.28239848248901200712476745829988419
1.21875,0.55438260563937623093475474733225488,0.27388255391645842621823834009581593
1.25,0.54595172373994102245384914659241927,0.2657568085871320634271130978076078
1.28125,0.53776899706891602072934061568742326,0.25799670077077057430662224805752159
1.3125,0.52982335677985336392622707365357722,0.25057967614972301810921166849407799
1.34375,0.5221044103573512697043622966862049,0.24348497275855229700170668738341635
1.375,0.51460238840366973939306154033706355,0.2366934455925630709995424204241821
1.40625,0.50730809657962089430075278868475584,0.23018741162813870443172638420454485
1.4375,0.50021287210602299879487081122834036,0.22395051250546714696705779905720352
1.46875,0.49330854431116506014178610224410697,0.21796759254380745417961416259379239
1.5,0.48658739877692830909630732283163886,0.21222459010769922878867376017666584
1.53125,0.48004214469346453219880817515375759,0.20670844063276895058763903511727855
1.5625,0.47366588508127951230727025355379263,0.20140698986265769775567271560064062
1.59375,0.46745208958155565992275012442535884,0.19630891605258863744419332644230845
1.625,0.46139456955167541069574124742142243,0.19140366006705427367889564552850174
1.65625,0.45548745523408764204984631585700889,0.1866813624445663274851268142000083
1.6875,0.44972517479364869121559935956891378,0.18213280662586863370340908691813308
1.71875,0.44410243504199603025886499867635905,0.17774936764712958502691589187001841
1.75,0.43861420368790102082782874187090094,0.17352296568940523221017248159956481
1.78125,0.43325569297033708662049551436855101,0.1694460239525626587649548625481708
1.8125,0.42802234454656069346269531029044085,0.16551143038790959716959460653355184
1.84375,0.42290981552114640242365213709503748,0.16171250288067431874755548534338262
1.875,0.41791396551390763040457839478599677,0.15804295752261850219720359022671899
1.90625,0.41303084467519532977341985083363191,0.15449687965761106346504515573795383
1.9375,0.40825668256638794331518756093044618,0.15106869741991780037910652656897817
1.96875,0.40358787783163012932212813837209188,0.14775315751708795674002560783916454
2,0.39902098859418384689266651076207651,0.14454530303733242045870285747977612
2.03125,0.39455272351724263946814355949931746,0.14144045308576967915347893116866113
2.0625,0.39017993347483085160675275908803445,0.13843418407535593916135654489403623
2.09375,0.3858996037835524090764526149526095,0.13552231251713155649646965381084644
2.125,0.38170884695054501808600998832127844,0.13270087917096144779234491976392229
2.15625,0.37760489589710129543205720932721179,0.12996613443252456060116187726653635
2.1875,0.37358509762109579132653994250353436,0.12731452484517501850423693686717461
2.21875,0.36964690726465599894797137765669858,0.12474268063667646432605033835937335
2.25,0.36578788255647973556125708189720455,0.12224740419089139768287769674494386
2.28125,0.36200567860086869334319060247373813,0.11982565937345245879511652748461786
2.3125,0.35829804298795170866086974604543989,0.11747456163839368421432281949036352
2.34375,0.35466281120174050092563385163598665,0.11519136884979865090089890438045818
2.375,0.3510979023046208531727753623955913,0.11297347275883470675959748491345551
2.40625,0.34760131487865593764772138743111747,0.11081839108217977414900014564857284
2.4375,0.34417112320568555101464422592838984,0.10872376013289016420278644149569092
2.46875,0.34080547366966291068843301176351243,0.10668732795927384129851102187996336
2.5,0.33750258136599484470278346566297845,0.10470694795138418082841533846695041
2.53125,0.33426072690385538062043392360957264,0.1027805728783874051382553924784403
2.5625,0.33107825338853905346941057051447207,0.1009062493233289189294866553204945
2.59375,0.32795356357191950018625190272051691,0.099082112484770360394188972590144723
2.625,0.32488511715999068839388909120883147,0.097306381317426066185286151830593706
2.65625,0.32187142826730099239774663328575158,0.095577353986326258895165400552209934
2.6875,0.31891106300885190796173355540579806,0.093893403611202317717230394697083352
2.71875,0.31600263722073030455353032294265746,0.092252974279751449220339358509920105
2.75,0.31314481430138184501351231436242147,0.090654577310215561659680365892859953
2.78125,0.31033630316601901749598567903567668,0.089096787745321308674232631898876997
2.8125,0.30757585630719501892746277428317663,0.087578241061092080313218104019790955
2.84375,0.30486226795506889897833953923204346,0.086097630075373249942215381431980518
2.875,0.30219437233134187030855975547663014,0.084653702042122630406117413668281923
2.90625,0.29957104199126307115077726981302168,0.083245255918620775816903500235904762
2.9375,0.29699118624848853472174803556075397,0.081871139793761113978640705354120154
2.96875,0.29445374967793256722138380431224877,0.080530248466497392616559546938410643
3,0.29195771069207877274465624733269905,0.079221521164364043895543207953536953
3.03125,0.28950208018652094919361558841225747,0.077943939392751396318758884051620496
3.0625,0.28708590025078414986954482166719626,0.076696524906318979744781105875461115
3.09375,0.28470824294073529551813960821613642,0.075478337794572564926080939280530178
3.125,0.28236820910913258557307856941368736,0.074288474674219517514006588120362835
3.15625,0.2800649272910851876534474412349801,0.07312606698145743781370029345958779
3.1875,0.27779755264140072789376485308983411,0.071990279357847318585253108438556101
3.21875,0.27556526592098927726596785059022269,0.070880308123878561405243612940833282
3.25,0.27336727252967002847713640624186356,0.069795379834752733103013751464528418
3.28125,0.2712028015828917756044205593287531,0.06873474991329915308147218455913969
3.3125,0.26907110503003163954060273305619082,0.067697701355291202438286128909560674
3.34375,0.26697145681207913488031997043460207,0.066683543502760279077626673539080614
3.375,0.26490315205664547780859173497533239,0.06569161088120698077341610244514104
3.40625,0.26286550630836174844296697660908746,0.064721262096888546577464810611042388
3.4375,0.26085785479284483903398517568772002,0.063771878790619790057380101759086868
3.46875,0.25887955171251767706584174437316354,0.062842864644763497894821233761620668
3.5,0.25692996957267059214253325900312248,0.061933644440307163201204367857355498
3.53125,0.25500849853624443186844606318461634,0.061043663161127446136078703088678468
3.5625,0.25311454580590361513124343968371709,0.060172385142733243977629283676699537
3.59375,0.25124753503204919172459347800408433,0.059319293262953927920188152023095419
3.625,0.24940690574549856918121693329748884,0.058483888172202275685338760332435445
3.65625,0.24759211281363025192494629533889835,0.057665687561092910952726365687868344
3.6875,0.24580262591885906503054876568065891,0.056864225463337577681237644668449537
3.71875,0.2440379290583702280021142654881562,0.056079051591969174615116980915994349
3.75,0.24229752006409960078983553702976865,0.055309730707067925153504526085135631
